Backend,Model,NumThreads,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ONNX,s,-1,193,16,14.6667,13.75,13.4,13.6667,13.4286,13.125,13,13,13.1818,13.1667,12.8462,12.8571,12.9333,12.875
ONNX,m,-1,207,25.5,19,19,18.6,18.1667,19,18.375,18.1111,19.1,17.9091,19.75,19.9231,18.6429,18.6,18.25
ONNX,b,-1,195,24.5,26.6667,22.25,21.4,22.3333,21.5714,21.5,21.5556,21.2,21.6364,21.1667,21.1538,21,21,20.9375
ONNX,l,-1,216,28,27.3333,24.75,24.2,25.1667,24,24,23.8889,23.9,24.2727,23.8333,23.8462,23.3571,23.1333,24.3125
ONNX,s,1,193,15.5,16.3333,12.75,12.4,12.6667,12,12,11.7778,11.7,11.8182,11.6667,11.6923,11.5,11.6,11.5
ONNX,m,1,218,21,19,19.25,18.4,18,18.2857,18.125,17.6667,17.8,17.6364,19.75,19.7692,18.2143,18.2667,17.9375
ONNX,b,1,206,28.5,23.3333,24,21.6,22.6667,21.8571,21.25,21.6667,21.1,21.6364,21.25,21.1538,21,20.9333,22.25
ONNX,l,1,221,29.5,27.6667,24.5,24.2,25,24,23.75,23.7778,23.8,24.1818,23.6667,23.4615,23.2857,23.2,24.3125
ONNX,s,4,216,19,15,13.75,13.4,13.6667,13.2857,13.125,13,12.7,12.9091,12.75,13.6154,12.6429,12.8,12.75
ONNX,m,4,209,21.5,19.6667,19.5,18.4,18.5,18.2857,18,18,18.1,17.7273,20.3333,19.7692,18.2857,18.0667,18
ONNX,b,4,210,24.5,23.3333,22.5,21.4,22,21.4286,21.25,21.4444,20.9,21.5455,21,20.9231,20.7857,20.6667,20.625
ONNX,l,4,228,27.5,27,24.25,23.8,24.8333,23.7143,23.625,23.6667,23.5,24.2727,23.4167,23.4615,23.0714,23.0667,22.875
ONNX,s,8,218,16,15.3333,14,13.4,14,13.1429,12.875,12.6667,12.7,12.8182,12.5833,12.6154,12.3571,12.4,12.4375
ONNX,m,8,194,21,19,20.25,18.2,18,18.5714,18.125,17.7778,17.9,17.6364,19.5833,19.7692,18.2857,18.1333,18
ONNX,b,8,198,23,21.3333,20.5,19.6,20,19.8571,19.25,19.6667,19.2,19.8182,19.25,19.3077,19.2143,19.2,19.0625
ONNX,l,8,222,28,27.3333,24.75,24.4,25,23.8571,23.75,23.6667,23.5,24,23.5,23.4615,23.9286,23.1333,22.9375
ONNX,s,16,202,17,16.3333,14,13.8,14.3333,13.2857,13.375,13.2222,12.9,13.1818,12.9167,13.0769,12.7857,13.0667,12.9375
ONNX,m,16,214,21.5,19,19,18.6,18,18.5714,18.25,17.7778,18,17.7273,20.0833,19.7692,18.2857,18.3333,18.125
ONNX,b,16,206,25.5,23.6667,22.75,21.8,22.5,21.8571,21.625,21.7778,21.3,21.7273,21.1667,21.1538,21.0714,21,22.1875
ONNX,l,16,221,29,27,25,24.4,25.3333,24.1429,24.25,24.1111,24.7,24.4545,23.9167,23.9231,23.5714,23.6667,23.3125
TRT,s,-1,34,7.5,10.6667,6.75,8.8,12.1667,10.4286,11.125,10.3333,10,11.9091,12.0833,11.6923,11.5,11.3333,12.375
TRT,m,-1,39,16.5,10,12.25,11.8,16.1667,14.4286,14.375,14.1111,12.6,14.8182,15.3333,16.2308,15.7857,14.4667,14.75
TRT,b,-1,47,18.5,12.3333,14.5,14,17.8333,15.8571,16.125,15.6667,15.2,17.0909,18,17.3077,16.2857,17.2,17.75
TRT,l,-1,52,20,18.6667,17,16.2,20,18.1429,17.5,18.2222,16.6,20.5455,18.8333,19.9231,19.5,19.6667,19.1875
